City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Isangel,VU,77.0,clear sky,-19.55,169.27,Volcano Sea View Tree House
22,Ko Samui,TH,82.69,clear sky,9.54,99.94,"The Passage Samui Villas & Resort, Thailand"
24,Jesup,US,77.0,clear sky,31.61,-81.89,Western Motel
39,Georgetown,MY,80.6,light rain,5.41,100.34,Cititel Penang
41,Toamasina,MG,77.0,shower rain,-18.17,49.38,Hotel H1
45,Acapulco,MX,80.6,scattered clouds,16.86,-99.89,HS Hotsson Smart Acapulco
46,Altar,MX,83.77,overcast clouds,30.7,-111.82,Hotel Maria Elena
49,Port Hedland,AU,80.6,clear sky,-20.32,118.57,The Esplanade Hotel
53,Noumea,NC,78.01,clear sky,-22.28,166.46,Hôtel Le Lagon
54,Nouadhibou,MR,84.2,overcast clouds,20.93,-17.03,El Medina
59,Kavieng,PG,82.38,few clouds,-2.57,150.8,Nusa Island Retreat
63,Atuona,PF,77.81,broken clouds,-9.8,-139.03,Villa Enata
75,Poum,NC,77.47,clear sky,-20.23,164.02,Gîte kajeon
76,General Pico,AR,79.97,light rain,-35.66,-63.76,Hotel Malargue
78,Sao Mateus,BR,81.68,light rain,-18.72,-39.86,Hotel Rio Norte
81,Penalva,BR,85.75,overcast clouds,-3.29,-45.17,HOTEL MELONIO
85,Arlit,NE,88.63,clear sky,18.74,7.39,Hôtel Telwa Bungalow
86,Ranong,TH,77.92,scattered clouds,9.97,98.63,Tinidee Hotel@Ranong
92,Tuni,IN,76.35,clear sky,17.35,82.55,Sai Krishna Lodge
104,Progreso,MX,82.0,broken clouds,21.28,-89.67,Playa Linda Hotel
106,Gualaquiza,EC,83.3,light rain,-3.4,-78.55,Hotel Merceditas
107,Paita,PE,75.2,few clouds,-5.09,-81.11,Hotel Náutico de Paita
112,Faanui,PF,79.65,light rain,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
113,Guane,CU,81.61,overcast clouds,22.2,-84.09,base de Campismo LosPortales de Guane
115,Biltine,TD,86.56,clear sky,14.53,20.92,Hôtel Trois Étoiles de Biltine
117,Bubaque,GW,84.24,clear sky,11.28,-15.83,"Casa Dora, Bubaque"
119,Kirakira,SB,79.14,moderate rain,-10.45,161.92,SanBiz Lodge
129,Chettipalaiyam,IN,78.8,haze,10.9,77.07,PVS தில்லையம்மன் லாரி
130,Constantine,DZ,80.6,scattered clouds,36.37,6.61,Grand Hotel Cirta
142,Victoria,HK,79.0,light rain,22.29,114.16,Mini Hotel Central
143,Itarema,BR,88.59,scattered clouds,-2.92,-39.92,Windvillage
144,Caucaia,BR,87.8,scattered clouds,-3.74,-38.65,M.O.S. Logística - Filial Fortaleza
145,Butaritari,KI,81.37,overcast clouds,3.07,172.79,Isles Sunset Lodge
149,Bilma,NE,81.12,clear sky,18.69,12.92,Expeditions Ténére voyages
150,San Patricio,US,77.0,few clouds,28.02,-97.52,"Motel 6 Sinton, TX"
153,Los Llanos De Aridane,ES,75.2,scattered clouds,28.66,-17.92,Valle Aridane
157,Hithadhoo,MV,83.89,light rain,-0.6,73.08,Scoop Guest House
158,Padang,ID,78.64,overcast clouds,-0.95,100.35,Mercure Padang
160,Caraballeda,VE,75.99,clear sky,10.61,-66.85,Hotel 15 Letras
161,Acarau,BR,89.22,broken clouds,-2.89,-40.12,castelo pizzaria
164,Mar Del Plata,AR,75.2,scattered clouds,-38.0,-57.56,Gran Hotel Mar del Plata habitaciones
165,Gambela,ET,78.31,overcast clouds,8.25,34.58,Solomon Debebe Hotel
171,Makakilo City,US,77.0,clear sky,21.35,-158.09,Marriott's Ko Olina Beach Club
175,Namibe,AO,77.0,few clouds,-15.2,12.15,Hotel Chik Chik Namibe
179,Celestun,MX,82.18,broken clouds,20.87,-90.4,Posada Lilia
180,Bowen,AU,75.2,broken clouds,-20.02,148.23,Castle Motor Lodge Motel
185,Buraydah,SA,82.4,scattered clouds,26.33,43.98,Mövenpick Hotel Qassim
195,Manadhoo,MV,83.75,light rain,5.77,73.38,Vevu Guesthouse
199,Kahului,US,78.8,clear sky,20.89,-156.47,Maui Seaside Hotel
200,Santa Marta,CO,88.0,light rain,11.24,-74.2,Hotel La Ballena Azul
201,Cordoba,AR,82.99,clear sky,-31.41,-64.18,Sheraton Cordoba Hotel
205,Kununurra,AU,80.6,light rain,-15.77,128.73,Hotel Kununurra
211,Sao Felix Do Xingu,BR,82.89,moderate rain,-6.64,-51.99,Apart Hotel Rio Xingu
212,Hobyo,SO,80.94,overcast clouds,5.35,48.53,Osmani Hotel
213,Porto Novo,BJ,86.0,scattered clouds,6.5,2.6,Tour Eiffel Hotel Benin
222,Vao,NC,75.27,clear sky,-22.67,167.48,Hotel Kou-Bugny
224,Bosaso,SO,75.58,few clouds,11.28,49.18,Red Sea Hotel
225,Sur,OM,75.49,clear sky,22.57,59.53,Sur Plaza Hotel
227,Maceio,BR,87.8,scattered clouds,-9.67,-35.74,Mercure Maceio Pajucara Hotel
237,Kudat,MY,77.0,few clouds,6.88,116.85,Dream Garden Hotel
239,Bathsheba,BB,87.8,scattered clouds,13.22,-59.52,Atlantis Hotel
240,Carai,BR,81.14,scattered clouds,-17.19,-41.69,Pousada Auto Vale
243,Kloulklubed,PW,78.8,broken clouds,7.04,134.26,Storyboard Beach Resort
244,Meulaboh,ID,78.89,light rain,4.14,96.13,Kost Pria
245,Tacuarembo,UY,75.16,clear sky,-31.73,-55.98,Hotel Orange
253,Rockledge,US,82.0,clear sky,28.35,-80.73,Aladdin Motel
258,Bitung,ID,77.0,few clouds,1.45,125.18,Peoplesight Learning Center ( PLC )
259,Tautira,PF,75.2,few clouds,-17.73,-149.15,Pension Oaoa
260,Veinticinco De Mayo,AR,75.0,broken clouds,-35.43,-60.17,Estancia La Rosada
262,Paoua,CF,81.68,broken clouds,7.24,16.44,Quartier Paoua Elien
263,Guatire,VE,75.99,scattered clouds,10.48,-66.54,Parque Residencial Canaima I
270,Mount Isa,AU,77.0,clear sky,-20.73,139.5,ibis Styles Mt Isa Verona
271,Hirara,JP,78.94,clear sky,24.8,125.28,Hotel Atoll Emerald Miyakojima
272,Cabatuan,PH,76.75,heavy intensity rain,10.88,122.49,Tobias Hime
275,Rio Cuarto,AR,78.01,scattered clouds,-33.13,-64.35,Hotel Menossi
278,Mecca,SA,80.28,scattered clouds,21.43,39.83,Hotel Fairmont Makkah Clock Royal Tower
284,Altamira,BR,84.2,moderate rain,-3.2,-52.21,Requinte Hotel
288,Omboue,GA,80.04,scattered clouds,-1.57,9.26,Hotel Olako
289,Amahai,ID,82.0,overcast clouds,-3.33,128.92,Peternakan Ayam Bangkok Manisso
295,Moerai,PF,76.57,light rain,-22.43,-151.33,Le Manotel
301,Hambantota,LK,75.2,scattered clouds,6.12,81.12,Bungalow 63
305,Cururupu,BR,88.57,broken clouds,-1.83,-44.87,Pousada Través'cia
309,Suba,PH,83.05,scattered clouds,10.84,121.01,Casita Bed and Grill
313,Ambilobe,MG,78.22,scattered clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
319,Cabo San Lucas,MX,75.2,clear sky,22.89,-109.91,Hotel Tesoro Los Cabos
328,Tual,ID,82.4,scattered clouds,-5.67,132.75,Grand Vilia Hotel
331,Labuhan,ID,80.56,broken clouds,-6.88,112.21,bador sepret
339,San Policarpo,PH,81.79,overcast clouds,12.18,125.51,Zal-Ann Beach Resort
349,Tomatlan,MX,83.46,clear sky,19.93,-105.25,Norma franco
359,Mayumba,GA,79.54,overcast clouds,-3.43,10.66,LIKWALE LODGE
364,Mitsamiouli,KM,79.93,scattered clouds,-11.38,43.28,Foyer ADM
366,Road Town,VG,86.0,scattered clouds,18.42,-64.62,"ZINGARA 76ft Catamaran, full crew-all included"
368,Sibiti,CG,77.95,scattered clouds,-3.68,13.35,Hotel Mapila 1
