City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Rikitea,PF,-23.12,-134.97,71.64,85,54,19.82,broken clouds
1,Xining,CN,36.62,101.77,36.36,59,0,1.12,clear sky
2,Isangel,VU,-19.55,169.27,77.0,81,9,4.09,clear sky
3,Alice Springs,AU,-23.7,133.88,69.8,14,90,5.82,overcast clouds
4,Hasaki,JP,35.73,140.83,51.8,100,75,1.12,broken clouds
5,Qaanaaq,GL,77.48,-69.36,-6.5,74,73,9.75,broken clouds
6,Pangnirtung,CA,66.15,-65.71,17.6,61,90,2.24,overcast clouds
7,Ushuaia,AR,-54.8,-68.3,51.8,40,20,9.17,few clouds
8,Jacareacanga,BR,-6.22,-57.75,96.64,38,100,3.51,moderate rain
9,Ola,RU,59.58,151.28,8.96,85,90,9.46,overcast clouds
10,Souillac,MU,-20.52,57.52,73.4,73,75,9.17,broken clouds
11,Kapaa,US,22.08,-159.32,71.6,100,75,5.82,broken clouds
12,Vaini,TO,-21.2,-175.2,73.4,83,75,4.7,broken clouds
13,Gweta,BW,-20.18,25.23,95.59,20,65,9.82,broken clouds
14,Ruteng,ID,-8.61,120.47,64.04,99,49,1.7,scattered clouds
15,New Norfolk,AU,-42.78,147.06,44.6,56,22,8.05,few clouds
16,Tres Palos,MX,18.18,-101.62,82.4,74,40,2.71,scattered clouds
17,Flinders,AU,-34.58,150.86,59.0,86,85,1.01,overcast clouds
18,Batagay,RU,67.63,134.63,-26.18,83,0,1.03,clear sky
19,Halmstad,SE,56.67,12.86,53.01,93,20,6.93,few clouds
20,Bluff,NZ,-46.6,168.33,47.17,86,10,11.01,clear sky
21,Cape Town,ZA,-33.93,18.42,66.0,87,75,9.17,broken clouds
22,Ko Samui,TH,9.54,99.94,82.69,77,0,8.23,clear sky
23,Kaitangata,NZ,-46.28,169.85,48.0,85,23,1.99,few clouds
24,Jesup,US,31.61,-81.89,77.0,65,1,8.05,clear sky
25,Ayorou,NE,14.73,0.92,97.21,9,65,14.43,broken clouds
26,East London,ZA,-33.02,27.91,66.2,68,20,17.22,few clouds
27,Iqaluit,CA,63.75,-68.51,19.4,73,90,28.86,light snow
28,Udachnyy,RU,66.42,112.4,3.2,84,90,4.47,light snow
29,Preobrazheniye,RU,42.9,133.91,48.67,81,63,6.69,broken clouds
30,Punta Arenas,CL,-53.15,-70.92,51.8,50,40,20.8,scattered clouds
31,Terrace,CA,54.52,-128.6,28.4,92,75,3.36,fog
32,Saint-Philippe,RE,-21.36,55.77,73.4,73,90,18.34,overcast clouds
33,Jamestown,US,42.1,-79.24,61.0,62,1,12.75,clear sky
34,Mandalgovi,MN,45.76,106.27,26.44,78,0,17.74,clear sky
35,Barrow,US,71.29,-156.79,17.6,92,90,8.05,overcast clouds
36,Leningradskiy,RU,69.38,178.42,27.59,98,100,12.68,snow
37,Busselton,AU,-33.65,115.33,60.01,71,1,5.99,clear sky
38,Ossora,RU,59.24,163.07,30.0,88,90,7.25,overcast clouds
39,Georgetown,MY,5.41,100.34,80.6,83,20,5.82,light rain
40,Hilo,US,19.73,-155.09,73.4,78,90,8.05,light rain
41,Toamasina,MG,-18.17,49.38,77.0,88,40,2.24,shower rain
42,Mayo,US,38.89,-76.51,64.0,87,1,4.63,clear sky
43,Stupino,RU,54.9,38.07,42.8,70,0,13.42,clear sky
44,Grindavik,IS,63.84,-22.43,35.6,80,40,23.04,scattered clouds
45,Acapulco,MX,16.86,-99.89,80.6,74,40,6.93,scattered clouds
46,Altar,MX,30.7,-111.82,83.77,18,94,9.78,overcast clouds
47,Xiaoweizhai,CN,26.19,107.51,54.81,85,56,3.74,broken clouds
48,Aswan,EG,24.09,32.91,74.48,31,0,9.55,clear sky
49,Port Hedland,AU,-20.32,118.57,80.6,69,1,14.99,clear sky
50,Nikolskoye,RU,59.7,30.79,45.0,70,0,13.42,clear sky
51,Albany,US,42.6,-73.97,64.0,43,10,3.8,clear sky
52,Khani,GE,41.96,42.96,59.0,82,90,20.8,overcast clouds
53,Noumea,NC,-22.28,166.46,78.01,94,0,2.24,clear sky
54,Nouadhibou,MR,20.93,-17.03,84.2,42,94,6.93,overcast clouds
55,Tromso,NO,69.65,18.96,42.8,70,75,51.67,shower rain
56,Tasiilaq,GL,65.61,-37.64,26.6,53,20,4.7,few clouds
57,Avarua,CK,-21.21,-159.78,69.8,94,88,2.24,overcast clouds
58,Luderitz,NA,-26.65,15.16,63.77,69,89,10.07,overcast clouds
59,Kavieng,PG,-2.57,150.8,82.38,78,23,11.3,few clouds
60,Mount Gambier,AU,-37.83,140.77,46.4,100,40,5.82,scattered clouds
61,Bud,US,39.45,-86.18,63.0,62,1,4.7,clear sky
62,Saskylakh,RU,71.92,114.08,4.91,93,100,7.16,overcast clouds
63,Atuona,PF,-9.8,-139.03,77.81,76,59,17.94,broken clouds
64,Airai,TL,-8.93,125.41,62.82,70,0,2.1,clear sky
65,Belfort,FR,47.63,6.87,55.4,66,0,8.05,clear sky
66,Chuy,UY,-33.7,-53.46,70.79,67,35,14.97,light rain
67,Sabha,LY,27.04,14.43,72.46,28,47,8.16,scattered clouds
68,Puerto Ayora,EC,-0.74,-90.35,73.4,78,75,19.46,broken clouds
69,Bredasdorp,ZA,-34.53,20.04,62.6,59,100,11.41,overcast clouds
70,Tigil,RU,57.8,158.67,27.39,96,99,5.23,overcast clouds
71,Tiznit,MA,29.58,-9.5,75.02,29,56,15.14,broken clouds
72,Provideniya,RU,64.38,-173.3,35.46,85,100,35.86,overcast clouds
73,Thompson,CA,55.74,-97.86,5.0,84,90,8.05,light snow
74,Eureka,US,40.8,-124.16,46.99,93,1,4.7,clear sky
75,Poum,NC,-20.23,164.02,77.47,78,0,10.54,clear sky
76,General Pico,AR,-35.66,-63.76,79.97,31,58,11.79,light rain
77,Manukan,PH,8.53,123.1,77.0,100,100,6.42,moderate rain
78,Sao Mateus,BR,-18.72,-39.86,81.68,70,83,6.58,light rain
79,Kaifeng,CN,34.79,114.35,59.0,30,0,4.47,clear sky
80,Talnakh,RU,69.49,88.4,1.4,84,0,8.95,clear sky
81,Penalva,BR,-3.29,-45.17,85.75,75,89,3.58,overcast clouds
82,Anadyr,RU,64.75,177.48,28.4,92,90,22.37,snow
83,Iguai,BR,-14.76,-40.09,72.25,91,100,1.43,overcast clouds
84,Lavrentiya,RU,65.58,-171.0,34.77,88,95,29.08,overcast clouds
85,Arlit,NE,18.74,7.39,88.63,12,6,10.45,clear sky
86,Ranong,TH,9.97,98.63,77.92,84,33,4.14,scattered clouds
87,Selenginsk,RU,52.01,106.86,24.8,62,75,22.37,light shower snow
88,Concepcion Del Oro,MX,24.63,-101.42,55.11,46,0,3.67,clear sky
89,Zhezkazgan,KZ,47.8,67.71,42.75,45,94,8.5,overcast clouds
90,San Quintin,MX,30.48,-115.95,70.38,65,2,2.68,clear sky
91,Walvis Bay,NA,-22.96,14.51,71.6,56,70,17.22,broken clouds
92,Tuni,IN,17.35,82.55,76.35,74,0,6.49,clear sky
93,Saint Johnsbury,US,44.42,-72.02,60.01,66,18,6.91,few clouds
94,Tuktoyaktuk,CA,69.45,-133.04,12.2,78,75,12.75,broken clouds
95,Constitucion,CL,-35.33,-72.42,64.18,47,0,12.77,clear sky
96,Pisco,PE,-13.7,-76.22,66.0,88,90,8.05,overcast clouds
97,Omsukchan,RU,62.53,155.8,-2.07,89,100,4.21,light snow
98,Mezen,RU,65.85,44.24,36.21,94,97,3.51,overcast clouds
99,Tiksi,RU,71.69,128.87,3.09,94,100,2.21,overcast clouds
100,Binzhou,CN,37.37,118.02,54.0,53,0,6.91,clear sky
101,Alofi,NU,-19.06,-169.92,71.6,88,92,8.05,overcast clouds
102,Carnarvon,AU,-24.87,113.63,71.6,94,75,12.75,broken clouds
103,Korla,CN,41.76,86.15,39.85,59,69,4.27,broken clouds
104,Progreso,MX,21.28,-89.67,82.0,78,75,6.93,broken clouds
105,Iturama,BR,-19.73,-50.2,90.79,25,0,5.46,clear sky
106,Gualaquiza,EC,-3.4,-78.55,83.3,44,13,4.12,light rain
107,Paita,PE,-5.09,-81.11,75.2,53,20,13.87,few clouds
108,Birao,CF,10.28,22.79,85.3,31,26,4.85,scattered clouds
109,Castro,BR,-24.79,-50.01,74.14,36,0,4.29,clear sky
110,Paraiso,CR,9.84,-83.87,69.8,100,75,1.12,drizzle
