City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Upernavik,GL,2020-11-05 15:16:46,72.79,-56.15,9.93,94,77,3.56
1,Khash,IR,2020-11-05 15:16:46,28.22,61.22,55.38,29,0,5.75
2,Quelimane,MZ,2020-11-05 15:16:46,-17.88,36.89,87.01,66,0,16.11
3,Kaitangata,NZ,2020-11-05 15:16:46,-46.28,169.85,48.99,96,100,1.99
4,Namatanai,PG,2020-11-05 15:16:46,-3.67,152.43,80.55,79,96,5.59
5,Abu Dhabi,AE,2020-11-05 15:14:20,24.47,54.37,84.2,51,0,8.05
6,Hermanus,ZA,2020-11-05 15:13:24,-34.42,19.23,66.99,79,40,5.01
7,Hobart,AU,2020-11-05 15:12:06,-42.88,147.33,53.6,58,75,11.41
8,Umea,SE,2020-11-05 15:16:47,63.83,20.26,46.4,59,0,21.92
9,Ilulissat,GL,2020-11-05 15:16:47,69.22,-51.1,21.2,67,75,12.75
10,Hasaki,JP,2020-11-05 15:16:48,35.73,140.83,46.4,100,40,2.24
11,Rogaska Slatina,SI,2020-11-05 15:16:48,46.24,15.64,53.6,46,0,5.82
12,Terrace,CA,2020-11-05 15:16:48,54.52,-128.6,39.2,93,90,27.51
13,Tacna,PE,2020-11-05 15:16:48,-18.01,-70.25,66.2,68,0,6.93
14,Ushuaia,AR,2020-11-05 15:13:44,-54.8,-68.3,50.0,66,75,20.8
15,Chapais,CA,2020-11-05 15:16:48,49.78,-74.85,39.2,86,1,8.05
16,Zabid,YE,2020-11-05 15:16:48,14.2,43.32,84.42,51,1,9.55
17,Kahului,US,2020-11-05 15:16:49,20.89,-156.47,73.4,73,1,5.82
18,New Norfolk,AU,2020-11-05 15:16:49,-42.78,147.06,52.0,65,89,1.01
19,Kapaa,US,2020-11-05 15:16:49,22.08,-159.32,71.6,100,40,6.93
20,Wiarton,CA,2020-11-05 15:16:49,44.74,-81.13,59.0,58,75,17.22
21,Orocue,CO,2020-11-05 15:16:49,4.79,-71.34,84.36,72,87,4.65
22,Lebu,CL,2020-11-05 15:16:49,-37.62,-73.65,55.92,65,0,17.58
23,Rikitea,PF,2020-11-05 15:16:50,-23.12,-134.97,73.83,68,83,8.86
24,Sao Joao Da Barra,BR,2020-11-05 15:16:50,-21.64,-41.05,78.8,65,40,6.93
25,Iqaluit,CA,2020-11-05 15:16:50,63.75,-68.51,14.0,72,90,12.75
26,Barrow,US,2020-11-05 15:16:50,71.29,-156.79,17.6,78,90,11.41
27,Almaznyy,RU,2020-11-05 15:16:50,48.04,40.05,46.4,87,0,4.47
28,Ulladulla,AU,2020-11-05 15:16:50,-35.35,150.47,54.0,93,75,18.34
29,Atuona,PF,2020-11-05 15:16:51,-9.8,-139.03,78.42,77,11,23.47
30,Hithadhoo,MV,2020-11-05 15:16:51,-0.6,73.08,84.6,71,47,6.29
31,Cape Town,ZA,2020-11-05 15:12:47,-33.93,18.42,75.0,82,75,16.11
32,Hilo,US,2020-11-05 15:12:50,19.73,-155.09,71.6,73,1,8.05
33,Naze,JP,2020-11-05 15:16:51,28.37,129.48,73.4,78,75,11.41
34,Tuktoyaktuk,CA,2020-11-05 15:16:51,69.45,-133.04,8.6,84,90,18.34
35,Fredonia,US,2020-11-05 15:16:52,42.44,-79.33,62.6,42,1,13.87
36,Slave Lake,CA,2020-11-05 15:16:52,55.28,-114.77,30.2,92,90,4.7
37,Mehamn,NO,2020-11-05 15:16:52,71.04,27.85,37.4,93,75,9.17
38,Leningradskiy,RU,2020-11-05 15:16:52,69.38,178.42,20.14,97,100,5.97
39,Kasungu,MW,2020-11-05 15:16:52,-13.03,33.48,85.08,26,0,10.89
40,Torbay,CA,2020-11-05 15:16:52,47.67,-52.73,36.0,59,75,12.75
41,Tura,IN,2020-11-05 15:16:53,25.52,90.22,61.88,56,0,2.35
42,Ialibu,PG,2020-11-05 15:16:53,-6.28,143.99,57.34,99,100,0.72
43,Acapulco,MX,2020-11-05 15:16:53,16.86,-99.89,75.2,64,20,6.93
44,Pisco,PE,2020-11-05 15:16:53,-13.7,-76.22,66.0,82,90,3.36
45,Dikson,RU,2020-11-05 15:16:53,73.51,80.55,0.72,91,0,4.59
46,Ishigaki,JP,2020-11-05 15:16:53,24.34,124.16,79.5,87,100,25.28
47,Arraial Do Cabo,BR,2020-11-05 15:16:54,-22.97,-42.03,77.0,73,40,9.17
48,Isla Vista,US,2020-11-05 15:16:54,34.41,-119.86,71.01,71,1,4.7
49,Busselton,AU,2020-11-05 15:16:54,-33.65,115.33,64.0,41,17,15.77
50,Thompson,CA,2020-11-05 15:15:04,55.74,-97.86,1.4,84,75,4.7
51,Takoradi,GH,2020-11-05 15:16:54,4.88,-1.76,82.35,78,100,7.9
52,Katsuura,JP,2020-11-05 15:16:54,35.13,140.3,57.2,67,0,5.82
53,Puerto Ayora,EC,2020-11-05 15:16:55,-0.74,-90.35,71.01,78,95,10.0
54,Yellowknife,CA,2020-11-05 15:14:11,62.46,-114.35,8.6,84,75,10.29
55,Sur,OM,2020-11-05 15:16:55,22.57,59.53,74.07,57,0,4.0
56,Jamestown,US,2020-11-05 15:16:55,42.1,-79.24,57.99,50,1,13.87
57,Vaini,TO,2020-11-05 15:16:55,-21.2,-175.2,73.4,88,75,10.29
58,Lagoa,PT,2020-11-05 15:16:55,39.05,-27.98,61.95,71,100,21.85
59,North Bend,US,2020-11-05 15:16:56,43.41,-124.22,60.01,100,90,3.36
60,Talnakh,RU,2020-11-05 15:16:56,69.49,88.4,-0.4,84,0,4.47
61,Tucuma,BR,2020-11-05 15:16:56,-0.18,-50.05,87.21,66,60,7.45
62,Urdoma,RU,2020-11-05 15:16:56,61.75,48.54,38.61,88,74,8.7
63,Avarua,CK,2020-11-05 15:16:56,-21.21,-159.78,71.6,88,100,4.7
64,Henties Bay,NA,2020-11-05 15:16:56,-22.12,14.28,64.99,82,13,5.01
65,Kasama,ZM,2020-11-05 15:16:57,-10.21,31.18,88.54,18,1,4.54
66,Butaritari,KI,2020-11-05 15:16:57,3.07,172.79,81.1,80,99,10.74
67,Ucluelet,CA,2020-11-05 15:14:30,48.93,-125.55,51.01,93,100,1.01
68,Saskylakh,RU,2020-11-05 15:16:57,71.92,114.08,-0.36,92,100,6.62
69,Haifa,IL,2020-11-05 15:16:57,32.82,34.99,71.6,56,75,3.36
70,Port Alfred,ZA,2020-11-05 15:14:36,-33.59,26.89,68.9,75,86,2.53
71,Polyarnyy,RU,2020-11-05 15:16:57,69.2,33.45,35.6,93,75,6.71
72,Atar,MR,2020-11-05 15:16:58,20.52,-13.05,98.6,27,98,6.93
73,Georgetown,MY,2020-11-05 15:15:10,5.41,100.34,80.6,88,20,3.36
74,Camana,PE,2020-11-05 15:16:58,-16.62,-72.71,69.58,63,1,11.03
75,Kholtoson,RU,2020-11-05 15:16:58,50.3,103.31,25.09,81,25,10.96
76,Punta Arenas,CL,2020-11-05 15:14:09,-53.15,-70.92,51.8,66,75,20.8
77,Areosa,PT,2020-11-05 15:16:58,41.72,-8.86,69.01,63,0,18.34
78,Bend,US,2020-11-05 15:16:58,44.06,-121.32,55.4,54,1,12.75
79,Trairi,BR,2020-11-05 15:16:59,-3.28,-39.27,87.96,56,55,15.26
80,Faanui,PF,2020-11-05 15:16:59,-16.48,-151.75,78.93,82,36,14.85
81,Canelones,UY,2020-11-05 15:16:59,-34.64,-56.29,73.0,56,40,14.99
82,Alice Springs,AU,2020-11-05 15:14:16,-23.7,133.88,69.8,26,0,8.05
83,Nouadhibou,MR,2020-11-05 15:16:59,20.93,-17.03,82.4,51,63,6.93
84,At-Bashi,KG,2020-11-05 15:16:59,41.17,75.81,32.5,63,49,6.62
85,Hlotse,LS,2020-11-05 15:17:00,-28.87,28.05,61.29,71,80,13.58
86,Qaanaaq,GL,2020-11-05 15:17:00,77.48,-69.36,-4.0,86,100,0.49
87,Port Elizabeth,ZA,2020-11-05 15:17:00,-33.92,25.57,68.0,88,0,14.99
88,Coquimbo,CL,2020-11-05 15:17:00,-29.95,-71.34,60.8,72,20,12.75
89,Elk City,US,2020-11-05 15:17:00,35.41,-99.4,53.6,66,1,11.41
90,Ribeira Grande,PT,2020-11-05 15:17:01,38.52,-28.7,62.6,72,40,13.87
91,Tezu,IN,2020-11-05 15:17:01,27.92,96.17,66.92,64,0,4.05
92,Bako,ET,2020-11-05 15:17:01,5.78,36.57,70.52,78,6,2.66
93,Jalu,LY,2020-11-05 15:17:01,29.03,21.55,75.2,40,0,10.78
94,East London,ZA,2020-11-05 15:17:01,-33.02,27.91,66.2,93,0,9.17
95,Ulaanbaatar,MN,2020-11-05 15:16:45,47.91,106.88,23.0,45,40,4.47
96,Howard Springs,AU,2020-11-05 15:17:02,-12.5,131.05,84.2,79,40,5.82
97,Hambantota,LK,2020-11-05 15:17:02,6.12,81.12,80.6,94,40,5.82
98,Presidencia Roque Saenz Pena,AR,2020-11-05 15:17:02,-26.79,-60.44,84.02,25,13,8.08
99,Belaya Kholunitsa,RU,2020-11-05 15:17:02,58.84,50.85,39.87,94,100,7.87
100,Esperance,AU,2020-11-05 15:17:02,-33.87,121.9,53.6,76,43,14.99
101,Bluff,NZ,2020-11-05 15:17:02,-46.6,168.33,45.0,93,100,1.99
102,Albany,US,2020-11-05 15:17:03,42.6,-73.97,57.0,48,11,1.01
103,Mataura,NZ,2020-11-05 15:17:03,-46.19,168.86,45.0,93,100,1.99
104,Ambon,ID,2020-11-05 15:17:03,-3.7,128.18,81.0,91,77,3.56
105,Saint George,US,2020-11-05 15:15:04,37.1,-113.58,48.2,42,1,2.77
106,Primalkinskoye,RU,2020-11-05 15:17:03,43.75,44.01,51.8,66,20,2.89
107,Da Nang,VN,2020-11-05 15:17:03,16.07,108.22,73.4,94,90,3.36
108,Lata,PT,2020-11-05 15:17:04,40.16,-8.33,64.99,79,100,10.0
109,Alamogordo,US,2020-11-05 15:17:04,32.9,-105.96,57.99,61,1,6.08
110,Dakoro,NE,2020-11-05 15:17:04,14.51,6.76,94.64,16,0,14.65
111,Namibe,AO,2020-11-05 15:17:04,-15.2,12.15,80.6,65,0,13.87
112,Grindavik,IS,2020-11-05 15:17:05,63.84,-22.43,44.6,70,90,50.55
113,Pevek,RU,2020-11-05 15:17:05,69.7,170.31,22.39,95,100,10.38
